params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.830601999999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.8322669999997743,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",2.648963000000549,100,5.297647058823531,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458277
"{""discount_factor"": 0.3}",2.7186020000008284,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.4}",2.801730000000134,100,5.4164705882352955,5.733333333333333,4.9411764705882355,5.733333333333333,0.3880760219938838
"{""discount_factor"": 0.5}",2.579681000000164,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.6}",2.6237190000001647,100,5.368941176470589,5.733333333333333,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.7}",2.654927999999927,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.8}",2.8080300000001444,100,5.289725490196079,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.9}",2.8243270000002667,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.3953648473914496
