params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.805938000000424,100,-0.09999999999999998,-0.1,-0.1,-0.1,2.7755575615628914e-17
"{""discount_factor"": 0.1}",2.6914919999999256,100,-0.09171216640989137,-0.09285684166139574,-0.1,-0.04761904761904764,0.009523879093855906
"{""discount_factor"": 0.2}",2.6516630000005534,100,-0.08608379941406678,-0.08713406292749656,-0.1,-0.05769230769230771,0.009546620145215215
"{""discount_factor"": 0.3}",2.6729059999997844,100,-0.07045012365104261,-0.07179487179487182,-0.1,-0.038888888888888896,0.011761804330806744
"{""discount_factor"": 0.4}",2.816811000000598,100,-0.13017463208137398,-0.07142375168690959,-3.038235294117647,-0.038888888888888896,0.4096662595375171
"{""discount_factor"": 0.5}",2.7079490000005535,100,-0.2350625476847457,-0.06764705882352942,-6.760000000000001,-0.03125000000000001,0.8493002374204821
"{""discount_factor"": 0.6}",2.702857999999651,100,-0.09489817926456155,-0.06857142857142857,-2.8,-0.038888888888888896,0.27205825126116756
"{""discount_factor"": 0.7}",2.560942000000068,100,-0.24882990091197393,-0.06666666666666667,-6.34375,-0.021428571428571446,0.9270229713299523
"{""discount_factor"": 0.8}",2.6537630000002537,100,-0.3239658754325294,-0.06666666666666667,-8.424999999999999,-0.03125000000000001,1.33037208133436
"{""discount_factor"": 0.9}",2.900195000000167,100,-5.397647598800769,-0.07582125603864731,-20.080000000000002,-0.03529411764705883,6.7540857823835365
