steps,time,reward,delta,converged
1,0.0028329999986453913,-3.43,90.0,False
2,0.005132999998750165,-1.432,90.0,False
3,0.0011640000011539087,-5.976470588235294,90.0,False
4,0.0030960000003688037,-2.1387755102040815,90.0,False
5,0.0010680000013962854,-8.424999999999999,90.0,False
6,0.004873000001680339,-1.95,90.0,False
7,0.0015480000001844019,-4.857142857142857,90.0,False
8,0.007444000002578832,-0.9612068965517239,89.919,False
9,0.0007149999983084854,-9.181818181818182,90.0,False
10,0.0038039999999455176,-1.9849056603773585,9.0,False
11,0.0011679999988700729,-6.760000000000001,9.0,False
12,0.00561300000117626,-1.2482758620689653,90.0,False
13,0.0026589999979478307,-2.5975,90.0,False
14,0.007309000000532251,-0.976315789473684,90.0,False
15,0.006730999997671461,-1.0989999999999998,9.0,False
16,0.004257000000507105,-2.18125,90.0,False
17,0.009032000001752749,-0.8804687499999998,9.0,False
18,0.007900000000518048,-1.008181818181818,89.8499475,False
19,0.003603000001021428,-1.8526315789473684,90.0,False
20,0.002873999997973442,-2.2717391304347827,0.9,False
21,0.004807999997865409,-1.527142857142857,89.845648425,False
22,0.0032559999999648426,-2.021153846153846,9.0,False
23,0.002538999997341307,-2.7289473684210526,90.0,False
24,0.0021679999990737997,-3.1272727272727274,89.919,False
25,0.0032399999981862493,-2.1387755102040815,89.8394100075,False
26,0.004166999999142718,-1.822413793103448,90.0,False
27,0.006842999999207677,-1.0165137614678899,89.8704405,False
28,0.002856999999494292,-2.4232558139534883,90.0,False
29,0.0030490000026475172,-2.1387755102040815,90.0,False
30,0.002109000000928063,-3.221875,90.0,False
31,0.003864000002067769,-1.7377049180327868,90.0,False
32,0.0025659999992058147,-2.6615384615384614,90.0,False
33,0.004473000000871252,-1.765,90.0,False
34,0.0015950000015436672,-4.096,0.9,False
35,0.0030560000013792887,-2.18125,90.0,False
36,0.004190999999991618,-1.6857142857142855,90.0,False
37,0.008471000001009088,-0.8866141732283462,90.0,False
38,0.0028449999990698416,-2.4232558139534883,89.919,False
39,0.0010800000018207356,-6.34375,9.0,False
40,0.0014400000000023283,-5.095000000000001,89.82891246774376,False
41,0.000910000002477318,-7.7846153846153845,0.9,False
42,0.004471000000194181,-2.3200000000000003,8.9919,False
43,0.00611399999979767,-1.1858695652173912,89.919,False
44,0.0015510000012000091,-4.2625,0.9,False
45,0.005429000000731321,-1.414473684210526,90.0,False
46,0.0013750000034633558,-5.3578947368421055,89.82219998835251,False
47,0.0018049999998765998,-3.8,90.0,False
48,0.003722000001289416,-2.3704545454545456,90.0,False
49,0.004794000000401866,-1.414473684210526,90.0,False
50,0.0032169999976758845,-2.18125,90.0,False
51,0.0017870000010589138,-3.8,9.0,False
52,0.00480000000243308,-1.432,81.81900000000002,False
53,0.002697000003536232,-2.4785714285714286,8.9919,False
54,0.0026240000006509945,-2.5975,9.0,False
