step,reward,mean,median,std,max,min
0,-0.6123076923076922,-0.6123076923076922,-0.6123076923076922,0.0,-0.6123076923076922,-0.6123076923076922
1,-0.08624999999999998,-0.3492788461538461,-0.3492788461538461,0.26302884615384614,-0.08624999999999998,-0.6123076923076922
2,-0.08624999999999998,-0.26160256410256405,-0.08624999999999998,0.24798597435074363,-0.08624999999999998,-0.6123076923076922
3,-0.08196721311475406,-0.21669372635561154,-0.08624999999999998,0.22841452171296395,-0.08196721311475406,-0.6123076923076922
4,-0.08888888888888888,-0.19113275886226702,-0.08624999999999998,0.21059916243962828,-0.08196721311475406,-0.6123076923076922
5,-1.140625,-0.3493814657185559,-0.08756944444444442,0.40270742745240284,-0.08196721311475406,-1.140625
6,-0.9256198347107438,-0.4317012327174399,-0.08888888888888888,0.42386899633520814,-0.08196721311475406,-1.140625
7,-0.09519650655021834,-0.3896381419465372,-0.09204269771955362,0.41181541439563435,-0.08196721311475406,-1.140625
8,-0.08405797101449272,-0.35568478962075445,-0.08888888888888888,0.3999637836285531,-0.08196721311475406,-1.140625
9,-0.09364161849710981,-0.32948047250839,-0.09126525369299934,0.3874969954863515,-0.08196721311475406,-1.140625
10,-1.3333333333333333,-0.4207398234924758,-0.09364161849710981,0.4688136692016559,-0.08196721311475406,-1.3333333333333333
11,-0.08405797101449272,-0.3926830024526438,-0.09126525369299934,0.4583991408549966,-0.08196721311475406,-1.3333333333333333
12,-0.8866141732283465,-0.4306777078969286,-0.09364161849710981,0.4596619577438379,-0.08196721311475406,-1.3333333333333333
13,-0.09605734767025087,-0.40677625359502306,-0.09441906252366408,0.45124679440012627,-0.08196721311475406,-1.3333333333333333
14,-0.09591078066914498,-0.3860518887332979,-0.09519650655021834,0.44278860457808067,-0.08196721311475406,-1.3333333333333333
15,-0.09515418502202644,-0.36787078225134345,-0.09517534578612238,0.4344722989631372,-0.08196721311475406,-1.3333333333333333
16,-0.8345588235294118,-0.39532301997358277,-0.09519650655021834,0.435568928419837,-0.08196721311475406,-1.3333333333333333
17,-0.9686956521739131,-0.4271770550958234,-0.09555364360968166,0.44320404739388514,-0.08196721311475406,-1.3333333333333333
18,-0.08804347826086954,-0.40932791947293107,-0.09519650655021834,0.4379795260177212,-0.08196721311475406,-1.3333333333333333
19,-0.9256198347107438,-0.4351425152348217,-0.09555364360968166,0.44147053772909806,-0.08196721311475406,-1.3333333333333333
20,-1.3974025974025974,-0.48096442390947775,-0.09591078066914498,0.47708323052360163,-0.08196721311475406,-1.3974025974025974
21,-0.09083333333333335,-0.46323119251965306,-0.09555364360968166,0.47314520972646135,-0.08196721311475406,-1.3974025974025974
22,-0.09840348330914366,-0.4473691182061526,-0.09591078066914498,0.4686879420666203,-0.08196721311475406,-1.3974025974025974
23,-0.09090909090909093,-0.43251661706877487,-0.09555364360968166,0.4643159094296937,-0.08196721311475406,-1.3974025974025974
24,-0.09281045751633986,-0.41892837068667743,-0.09519650655021834,0.4597793642099617,-0.08196721311475406,-1.3974025974025974
25,-0.08450704225352108,-0.40606601190078684,-0.09517534578612238,0.45541455213194115,-0.08196721311475406,-1.3974025974025974
26,-0.8511278195488722,-0.4225497825544196,-0.09519650655021834,0.4547366550683776,-0.08196721311475406,-1.3974025974025974
27,-1.4144736842105263,-0.4579756361849948,-0.09555364360968166,0.48299585044131826,-0.08196721311475406,-1.4144736842105263
28,-0.09408602150537634,-0.4454277184374218,-0.09519650655021834,0.4792173705164527,-0.08196721311475406,-1.4144736842105263
29,-0.07924528301886789,-0.4332216372568033,-0.09517534578612238,0.47572573616219316,-0.07924528301886789,-1.4144736842105263
30,-0.0825396825396825,-0.42190931613689614,-0.09515418502202644,0.47207367139289313,-0.07924528301886789,-1.4144736842105263
31,-0.08382352941176469,-0.4113441353017359,-0.09462010326370139,0.46834783246550327,-0.07924528301886789,-1.4144736842105263
32,-0.09535864978902954,-0.4017688175589266,-0.09515418502202644,0.46436699551347954,-0.07924528301886789,-1.4144736842105263
33,-0.08854166666666667,-0.39255625429738955,-0.09462010326370139,0.4605379507369738,-0.07924528301886789,-1.4144736842105263
34,-0.08990825688073394,-0.38390916865691366,-0.09408602150537634,0.45670295834176244,-0.07924528301886789,-1.4144736842105263
