step,reward,mean,median,std,max,min
0,-0.07924528301886789,-0.07924528301886789,-0.07924528301886789,0.0,-0.07924528301886789,-0.07924528301886789
1,-0.08493150684931505,-0.08208839493409148,-0.08208839493409148,0.00284311191522358,-0.07924528301886789,-0.08493150684931505
2,-0.08493150684931505,-0.08303609890583268,-0.08493150684931505,0.002680511619902488,-0.07924528301886789,-0.08493150684931505
3,-2.2717391304347827,-0.6302118567880701,-0.08493150684931505,0.9477390563329715,-0.07924528301886789,-2.2717391304347827
4,-0.08921568627450978,-0.5220126226853581,-0.08493150684931505,0.8748689914271639,-0.07924528301886789,-2.2717391304347827
5,-0.08281249999999998,-0.44881260223779845,-0.08493150684931505,0.8152429137594114,-0.07924528301886789,-2.2717391304347827
6,-0.08405797101449272,-0.3967047977773262,-0.08493150684931505,0.7654844804443994,-0.07924528301886789,-2.2717391304347827
7,-0.0923611111111111,-0.35866183694404924,-0.08493150684931505,0.7230847437602411,-0.07924528301886789,-2.2717391304347827
8,-0.08571428571428569,-0.3283343312518533,-0.08493150684931505,0.6871062444596697,-0.07924528301886789,-2.2717391304347827
9,-0.07179487179487182,-0.30268038530615515,-0.08493150684931505,0.656373839013399,-0.07179487179487182,-2.2717391304347827
10,-1.1298969072164948,-0.37788188729800426,-0.08493150684931505,0.6694872810668544,-0.07179487179487182,-2.2717391304347827
11,-0.08450704225352108,-0.3534339835442973,-0.08493150684931505,0.646093505509758,-0.07179487179487182,-2.2717391304347827
12,-0.08999999999999998,-0.33316983096396674,-0.08493150684931505,0.6247030686402623,-0.07179487179487182,-2.2717391304347827
13,-0.08999999999999998,-0.3158005573236834,-0.08532289628180037,0.6052277549430257,-0.07179487179487182,-2.2717391304347827
14,-0.08405797101449272,-0.3003510515697373,-0.08493150684931505,0.5875561370533545,-0.07179487179487182,-2.2717391304347827
15,-0.08735632183908043,-0.2870388809615713,-0.08532289628180037,0.5712302811447919,-0.07179487179487182,-2.2717391304347827
16,-0.08735632183908043,-0.27529284807201304,-0.08571428571428569,0.5561629147724354,-0.07179487179487182,-2.2717391304347827
17,-1.140625,-0.3233668565124568,-0.08653530377668306,0.5756924304234596,-0.07179487179487182,-2.2717391304347827
18,-1.4320000000000002,-0.3817159693275906,-0.08735632183908043,0.6125860466529012,-0.07179487179487182,-2.2717391304347827
19,-0.08333333333333331,-0.36679683752787773,-0.08653530377668306,0.600606036188137,-0.07179487179487182,-2.2717391304347827
20,-0.08493150684931505,-0.35337467892413665,-0.08571428571428569,0.5891970742167759,-0.07179487179487182,-2.2717391304347827
21,-0.08571428571428569,-0.34120829741459796,-0.08571428571428569,0.5783441357252874,-0.07179487179487182,-2.2717391304347827
22,-0.08791208791208789,-0.3301954187405758,-0.08571428571428569,0.5679854604131416,-0.07179487179487182,-2.2717391304347827
23,-0.08952380952380953,-0.3201674350232106,-0.08653530377668306,0.5581024953298335,-0.07179487179487182,-2.2717391304347827
24,-0.08513513513513513,-0.31076614302768757,-0.08571428571428569,0.548762683197476,-0.07179487179487182,-2.2717391304347827
25,-0.07659574468085102,-0.3017595892451169,-0.08571428571428569,0.5399871354923209,-0.07179487179487182,-2.2717391304347827
26,-0.08877551020408163,-0.2938712900213749,-0.08571428571428569,0.5314174234555218,-0.07179487179487182,-2.2717391304347827
27,-1.318292682926829,-0.3304577683394268,-0.08653530377668306,0.5553917576124954,-0.07179487179487182,-2.2717391304347827
28,-0.08910891089108909,-0.3221353939446565,-0.08735632183908043,0.5475059690844284,-0.07179487179487182,-2.2717391304347827
29,-0.08735632183908043,-0.3143094248744706,-0.08735632183908043,0.5399507581947148,-0.07179487179487182,-2.2717391304347827
30,-0.08035714285714286,-0.30676257706746,-0.08735632183908043,0.5327764375979385,-0.07179487179487182,-2.2717391304347827
31,-0.08166666666666664,-0.2997283298674353,-0.08653530377668306,0.5258462671865152,-0.07179487179487182,-2.2717391304347827
32,-0.08854166666666667,-0.2933287340128665,-0.08735632183908043,0.5190815254550144,-0.07179487179487182,-2.2717391304347827
33,-0.08607594936708857,-0.28723306387622605,-0.0867161356030845,0.5125884762768101,-0.07179487179487182,-2.2717391304347827
34,-0.08103448275862067,-0.2813416758442945,-0.08607594936708857,0.5063792825654502,-0.07179487179487182,-2.2717391304347827
35,-3.038235294117647,-0.3579220541296654,-0.0867161356030845,0.6742081299507128,-0.07179487179487182,-3.038235294117647
36,-2.1387755102040815,-0.4060532286181631,-0.08735632183908043,0.7250305147963786,-0.07179487179487182,-3.038235294117647
37,-0.08705882352941174,-0.3976586390105644,-0.08720757268424609,0.7172469617377718,-0.07179487179487182,-3.038235294117647
38,-0.08513513513513513,-0.3896452158342713,-0.08705882352941174,0.7097129848554335,-0.07179487179487182,-3.038235294117647
39,-0.08817204301075267,-0.3821083865136833,-0.08720757268424609,0.7023642615500149,-0.07179487179487182,-3.038235294117647
40,-0.08690476190476189,-0.37490829810858767,-0.08705882352941174,0.695238894262261,-0.07179487179487182,-3.038235294117647
41,-0.07555555555555553,-0.367780851857325,-0.08698179271708681,0.6884267842902806,-0.07179487179487182,-3.038235294117647
42,-0.08658536585365853,-0.36124142195026293,-0.08690476190476189,0.6816933841709447,-0.07179487179487182,-3.038235294117647
43,-0.08641975308641975,-0.35499547493063016,-0.08674506387921022,0.6751458232899537,-0.07179487179487182,-3.038235294117647
