params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",102.69324300000153,1000,2.535,5.733333333333333,-1.0,5.733333333333333,3.362455699832094
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",105.87561899999855,1000,2.2522,-1.0,-1.0,5.733333333333333,3.364720170633312
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",102.0861189999996,1000,2.3531999999999997,-1.0,-1.0,5.733333333333333,3.3666397332255995
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",380.05858199999784,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",222.52164600000106,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",100.14080000000104,1000,2.3128,-1.0,-1.0,5.733333333333333,3.3662357057500696
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",99.57911400000012,1000,2.3531999999999997,-1.0,-1.0,5.733333333333333,3.3666397332255995
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",95.70338400000037,1000,2.4946,5.733333333333333,-1.0,5.733333333333333,3.364235055204477
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",98.85788300000422,1000,2.366666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",94.58527899999899,1000,2.5417333333333336,5.733333333333333,-1.0,5.733333333333333,3.3621118521944906
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",99.73195500000293,1000,2.4542,5.733333333333333,-1.0,5.733333333333333,3.3655285409575715
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",104.0561680000028,1000,2.333,-1.0,-1.0,5.733333333333333,3.3664983291247896
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",98.82185900000331,1000,2.3868666666666667,5.733333333333333,-1.0,5.733333333333333,3.3666060661212573
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",371.3663480000032,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",179.94244199999957,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",19.350847000001522,1000,5.338839215686273,5.733333333333333,4.9411764705882355,5.733333333333333,0.39607526273242344
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",103.7031100000022,1000,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.360601202827322
