episode,length,time,reward,delta
42,81.0,0.0051460000013321405,-108.1,-73.701234909
43,24.0,0.0015620000012859236,-102.4,-66.3311114181
44,55.0,0.0041139999993902165,-105.5,-89.9829
45,24.0,0.0015769999990880024,-102.4,-90.95690297395123
46,53.0,0.0034429999996064,-105.3,-63.71572237969535
47,87.0,0.005741999999372638,-108.69999999999999,-84.58671389327972
48,66.0,0.004586000000927015,-106.6,-91.85823343221013
49,13.0,0.0009169999993901001,-101.3,-99.92936752394306
50,71.0,0.004746000000523054,-107.1,-100.0
51,33.0,0.002108000000589527,-103.3,-90.0
52,43.0,0.002830999999787309,-104.3,-80.98461
53,113.0,0.007197000000815024,-111.29999999999998,-100.0
54,33.0,0.002142999999705353,-103.3,-99.94310694231002
55,16.0,0.0011020000001735752,-101.6,-76.12804250395175
56,79.0,0.0051110000003973255,-107.89999999999999,-90.97066442330757
57,22.0,0.0015359999997599516,-102.2,-100.0
58,67.0,0.004230000000461587,-106.69999999999999,-68.51523825355656
59,16.0,0.00130899999930989,-101.6,-92.65214132926361
60,29.0,0.0018779999991238583,-102.9,-99.97917824608494
61,9.0,0.0006350000003294554,-100.9,-85.94096869661428
62,18.0,0.0011960000010731164,-101.8,-69.6276306050993
63,81.0,0.005117000000609551,-108.1,-90.0
64,41.0,0.002739000001383829,-104.1,-61.663714428200905
65,65.0,0.004357999998319428,-106.5,-99.981
66,18.0,0.0012920000008307397,-101.8,-99.9897
67,28.0,0.002608999999210937,-102.8,-55.49734298538081
68,61.0,0.005113999999593943,-106.1,-100.0
69,46.0,0.003008000001500477,-104.6,-80.54298294721107
70,58.0,0.003786999999647378,-105.8,-90.0
71,74.0,0.004666999999244581,-107.39999999999999,-89.94879624807902
72,9.0,0.0006339999999909196,-100.9,-49.94760868684273
73,19.0,0.001314999999522115,-101.9,-77.68974941939
74,42.0,0.0027389999995648395,-104.2,-99.9579420483
75,26.0,0.0016830000004119938,-102.6,-90.0
76,21.0,0.0013699999999516876,-102.1,-93.96962919381555
77,22.0,0.0014449999998760177,-102.2,-81.0
78,57.0,0.003754000001208624,-105.69999999999999,-81.0
79,75.0,0.004697000000305707,-107.49999999999999,-77.88584480833363
80,37.0,0.0023689999998168787,-103.7,-99.981
81,71.0,0.004667999999583117,-107.1,-85.03506309859435
82,23.0,0.0015039999998407438,-102.3,-100.0
83,20.0,0.0013280000002851011,-102.0,-80.95391662327111
