steps,time,reward,delta,converged
1,0.002109000000928063,-3.8,90.0,False
2,0.0022609999978158157,-3.3225806451612905,90.0,False
3,0.0007010000008449424,-10.09,90.0,False
4,0.0012260000003152527,-5.65,90.0,False
5,0.0011349999986123294,-5.976470588235294,90.0,False
6,0.0021469999992405064,-4.2625,90.0,False
7,0.0010000000002037268,-6.760000000000001,90.0,False
8,0.0009319999990111683,-8.424999999999999,90.0,False
9,0.0012410000017553102,-5.65,90.0,False
10,0.0012349999997240957,-5.3578947368421055,90.0,False
11,0.001034000000800006,-6.34375,9.0,False
12,0.001565000002301531,-4.096,90.0,False
13,0.0007060000025376212,-9.181818181818182,9.0,False
14,0.0017399999996996485,-3.8,80.8750976159232,False
15,0.0010909999982686713,-8.424999999999999,9.0,False
16,0.0025710000008984935,-3.9423076923076925,89.70951361785984,False
17,0.0035519999983080197,-1.9849056603773585,90.0,False
18,0.000910999999177875,-7.235714285714286,90.0,False
19,0.001737999999022577,-4.2625,9.0,False
20,0.0007909999985713512,-8.424999999999999,8.087509761592319,False
21,0.0007079999995767139,-9.181818181818182,90.0,False
22,0.0013519999993150122,-4.857142857142857,9.0,False
23,0.000840000000607688,-7.7846153846153845,89.919,False
24,0.00033400000029359944,-20.080000000000002,8.970951361785986,False
25,0.00039599999945494346,-16.75,89.83820898,False
26,0.0010089999996125698,-6.34375,0.8087509761592344,False
27,0.0010309999997843988,-6.34375,89.919,False
28,0.0011420000009820797,-5.65,89.905068,False
29,0.0014129999981378205,-5.095000000000001,90.0,False
30,0.0006009999997331761,-11.2,9.0,False
31,0.0016130000003613532,-4.096,90.0,False
32,0.001985999999305932,-3.43,90.0,False
33,0.0026109999998880085,-2.4785714285714286,0.9,False
34,0.0015039999998407438,-4.857142857142857,90.0,False
35,0.0017829999997047707,-3.667857142857143,89.919,False
36,0.001927999997860752,-3.43,89.8229602302624,False
37,0.0007729999997536652,-8.424999999999999,90.0,False
38,0.0019470000006549526,-3.3225806451612905,89.919,False
39,0.0014710000032209791,-4.640909090909091,8.982296023026242,False
40,0.0018760000020847656,-3.8,0.080875097615926,False
41,0.002413999998680083,-2.7289473684210526,9.0,False
42,0.0032299999984388705,-2.4232558139534883,89.919,False
43,0.0005889999993087258,-11.2,8.983820898000003,False
44,0.006047999999282183,-1.1627659574468083,90.0,False
45,0.0020670000012614764,-3.221875,90.0,False
46,0.0007089999999152496,-9.181818181818182,89.9109,False
47,0.00297100000170758,-2.18125,90.0,False
48,0.0011749999976018444,-6.34375,88.96345059753315,False
49,0.0026509999988775235,-2.4785714285714286,89.919,False
50,0.0031199999975797255,-2.1387755102040815,81.81819000000002,False
51,0.002405999999609776,-2.875,0.9,False
52,0.004132999998546438,-1.6857142857142855,90.0,False
53,0.0014600000031350646,-4.443478260869566,88.84385411267789,False
54,0.0023629999996046536,-2.7289473684210526,88.73422502038284,False
55,0.001821000001655193,-3.5448275862068965,89.7981156,False
56,0.0044630000011238735,-1.5478260869565217,9.0,False
57,0.0010990000009769574,-5.976470588235294,8.873422502038279,False
58,0.00212199999805307,-3.038235294117647,88.75739731289602,False
59,0.0022869999993417878,-3.667857142857143,8.9919,False
60,0.0023450000007869676,-3.038235294117647,89.68237967665695,False
61,0.010012999999162275,-0.7283018867924526,9.0,False
62,0.001999000000068918,-3.221875,9.0,False
63,0.0010959999999613501,-7.7846153846153845,81.62607947043635,False
64,0.0016700000014679972,-4.640909090909091,9.0,False
65,0.006453000001783948,-1.5478260869565217,90.0,False
66,0.0007129999976314139,-12.5875,8.96823796766569,False
67,0.0008960000013757963,-7.235714285714286,8.875739731289602,False
68,0.0016209999994316604,-3.9423076923076925,88.94539588073954,False
69,0.0037430000011227094,-1.9163636363636363,90.0,False
70,0.0022969999990891665,-2.9542857142857146,0.9,False
71,0.0007069999992381781,-9.181818181818182,89.64107941045425,False
72,0.0007660000010218937,-8.424999999999999,0.9,False
73,0.0005779999992228113,-11.2,89.6865164487029,False
74,0.0019419999989622738,-3.5448275862068965,0.08999999999999489,False
75,0.000985999999102205,-6.760000000000001,81.57879127398478,False
76,0.0005869999986316543,-11.2,0.08999999999999489,False
77,0.0005160000000614673,-20.080000000000002,0.8873422502038267,False
78,0.0009350000000267755,-7.235714285714286,0.8875739731289628,False
79,0.003297999999631429,-1.9849056603773585,89.919,False
80,0.0005390000005718321,-12.5875,80.80223160849984,False
81,0.0009050000007846393,-7.235714285714286,80.73526137747,False
82,0.002930999999080086,-2.225531914893617,9.0,False
83,0.005530000002181623,-1.2752941176470587,8.162607947043636,False
84,0.003232000002753921,-2.021153846153846,89.58552317209815,False
85,0.0014160000027914066,-4.640909090909091,89.0360757,False
86,0.003506999997625826,-1.95,0.9,False
87,0.0031989999988581985,-2.0588235294117645,89.63010263578548,False
88,0.0015679999996791594,-4.096,88.67500402533372,False
89,0.0021190000006754417,-0.06764705882352946,0.9,False
90,0.001839000000472879,-3.5448275862068965,81.56874116910843,False
91,0.00831099999777507,-0.8399999999999997,0.08999999999999489,False
92,0.0044989999987592455,-1.5691176470588233,89.919,False
93,0.0015039999998407438,-4.2625,8.080223160849988,False
94,0.006352000000333646,-1.1193877551020408,89.919,False
95,0.0028639999982260633,-0.07608695652173914,0.3167999999999999,False
96,0.0030169999990903307,-2.18125,0.009000000000004605,False
