steps,time,reward,delta,converged
1,0.21560399999725632,-5.8009430784776015,10.000010459379856,False
2,0.055603000000701286,-5.77008652657602,9.000009413441871,False
3,0.08896300000196788,-6.0946252838758515,8.100008472097683,False
4,0.04461000000446802,-4.850299401197605,7.290007624887915,False
5,0.020704999995359685,-5.9748427672955975,6.561006862399123,False
6,0.006445999999414198,-0.978021978021978,5.904906176159211,False
7,0.009663999997428618,-5.054794520547945,5.31441555854329,False
8,0.008827000005112495,-4.734848484848484,4.782974002688961,False
9,0.004091999995580409,-2.515625,4.304676602420066,False
10,0.009543000000121538,-4.4475524475524475,3.8742089421780586,False
11,0.0015439999988302588,3.2083333333333335,3.486788047960252,False
12,0.005001999998057727,-0.972972972972973,3.1381092431642275,False
13,0.0022480000043287873,-0.9411764705882353,2.8242983188478052,False
14,0.011849000002257526,-3.6793478260869565,2.541868486963024,False
15,0.008967000001575798,-3.8095238095238093,2.2876816382667218,False
16,0.007851999995182268,-4.041237113402062,2.05891347444005,False
17,0.00499600000330247,-2.6440677966101696,1.853022126996045,False
18,0.0013620000027003698,3.8095238095238093,1.6677199142964412,False
19,0.0053299999999580905,-4.554216867469879,1.5009479228667972,False
20,0.005032000000937842,2.4827586206896552,1.3508531305801172,False
21,0.007878999997046776,-2.1149425287356323,1.2157678175221052,False
22,0.012129000002460089,-4.2349726775956285,1.0941910357698945,False
23,0.0012759999954141676,4.05,0.9847719321929049,False
24,0.002905000001192093,-3.2045454545454546,0.886294738973615,False
25,0.007806000001437496,-5.852459016393443,0.7976652650762532,False
26,0.006229999999050051,-3.0851063829787235,0.7178987385686284,False
27,0.007161000001360662,-2.8317757009345796,0.6461088647117663,False
28,0.007733000005828217,-7.638655462184874,0.5814979782405899,False
29,0.0012179999976069666,4.315789473684211,0.5233481804165309,False
30,0.0012749999950756319,4.05,0.47101336237487745,False
31,0.0038809999969089404,-0.9649122807017544,0.4239120261373899,False
32,0.0013360000011743978,3.8095238095238093,0.38152082352365113,False
33,0.0015849999981583096,3.04,0.34336874117128674,False
34,0.001640999995288439,3.04,0.3090318670541578,False
35,0.001263000005565118,4.611111111111111,0.2781286803487419,False
36,0.0022189999945112504,1.8857142857142857,0.2503158123138675,False
37,0.001432999997632578,3.8095238095238093,0.22528423108248036,False
38,0.0052060000016354024,-3.419753086419753,0.20275580797423204,False
39,0.002092999995511491,-0.9285714285714286,0.18248022717680926,False
40,0.001237000004039146,4.9411764705882355,0.1642322044591282,False
41,0.0012559999959194101,4.611111111111111,0.14780898401321566,False
42,0.0017539999971631914,2.8846153846153846,0.13302808561189466,False
43,0.001644000003580004,2.8846153846153846,0.1197252770507049,False
44,0.003209000002243556,-2.9019607843137254,0.10775274934563442,False
45,0.0026739999957499094,-0.9473684210526315,0.09697747441107084,False
46,0.0016849999956320971,-0.9230769230769231,0.08727972696996318,False
47,0.001087999997253064,4.9411764705882355,0.07855175427296644,False
48,0.0009600000048521906,5.733333333333333,0.07069657884566993,False
49,0.004594000005454291,-2.6724137931034484,0.06362692096110294,False
50,0.003942999996070284,-2.732142857142857,0.05726422886499308,False
51,0.0014819999996689148,3.391304347826087,0.051537805978493625,False
52,0.0011470000026747584,4.611111111111111,0.04638402538064384,False
53,0.0014840000003459863,3.391304347826087,0.04174562284257917,False
54,0.001304999997955747,-0.8888888888888888,0.037571060558320823,False
55,0.00664899999537738,-2.8846153846153846,0.033813954502488745,False
56,0.0010529999999562278,5.3125,0.030432559052239586,False
57,0.0019120000069960952,2.740740740740741,0.0273893031470152,False
58,0.0011200000008102506,5.3125,0.024650372832313396,False
59,0.0026000000070780516,-0.9512195121951219,0.022185335549082197,False
60,0.0026500000021769665,-0.9523809523809523,0.01996680199417398,False
