steps,time,reward,delta,converged
1,0.12081300000136252,-3.83508036338225,50.0,False
2,0.011987000005319715,-1.9603960396039604,25.0,False
3,0.03504800000519026,-3.0531177829099305,12.5,False
4,0.019330000002810266,-3.578358208955224,6.25,False
5,0.0036059999983990565,-0.9607843137254902,3.125,False
6,0.0026020000004791655,1.6578947368421053,1.5625,False
7,0.0029680000006919727,1.8055555555555556,0.78125,False
8,0.00173200000426732,3.590909090909091,0.390625,False
9,0.007302999998501036,-2.7818181818181817,0.1953125,False
10,0.001357000001007691,3.8095238095238093,0.09765625,False
11,0.004357999998319428,-0.9692307692307692,0.048828125,False
12,0.002006000002438668,5.3125,0.0244140625,False
13,0.0016450000039185397,4.05,0.01220703125,False
14,0.002949999994598329,-3.255813953488372,0.006103515625,False
15,0.0013580000013462268,3.8095238095238093,0.0030517578125,False
16,0.0013550000003306195,4.611111111111111,0.00152587890625,False
17,0.0012480000004870817,4.9411764705882355,0.000762939453125,False
18,0.0013770000005024485,3.8095238095238093,0.0003814697265625,False
19,0.0017010000010486692,4.315789473684211,0.00019073486328125,False
20,0.000994000001810491,5.733333333333333,9.5367431640625e-05,False
21,0.0011610000001383014,4.9411764705882355,4.76837158203125e-05,False
22,0.0014379999993252568,-0.9090909090909091,2.384185791015625e-05,False
23,0.0020710000026156195,-0.9375,1.1920928955078125e-05,False
24,0.0015330000023823231,-0.9130434782608695,5.9604644775390625e-06,False
25,0.0010929999989457428,4.9411764705882355,2.9802322387695312e-06,False
26,0.0011379999996279366,5.3125,1.4901161193847656e-06,False
27,0.0009810000046854839,5.733333333333333,7.450580596923828e-07,False
28,0.0012120000028517097,4.315789473684211,3.725290298461914e-07,False
29,0.002975999996124301,-0.9411764705882353,1.862645149230957e-07,False
30,0.0015879999991739169,3.590909090909091,9.313225746154785e-08,False
31,0.0010350000011385418,5.3125,4.6566128730773926e-08,False
32,0.0010599999950500205,5.733333333333333,2.3283064365386963e-08,False
33,0.0010760000004665926,5.3125,1.1641532182693481e-08,False
34,0.001282999997783918,-0.9,5.820766091346741e-09,False
35,0.001065999997081235,5.733333333333333,2.9103830456733704e-09,False
36,0.0012889999998151325,4.05,1.4551915228366852e-09,False
37,0.00114900000335183,5.733333333333333,7.275957614183426e-10,False
38,0.0009730000019771978,5.733333333333333,3.637978807091713e-10,False
39,0.001384999995934777,5.3125,1.8189894035458565e-10,False
40,0.0014110000047367066,4.315789473684211,9.094947017729282e-11,False
41,0.0015930000008665957,5.733333333333333,4.547473508864641e-11,False
42,0.0011729999969247729,5.3125,2.2737367544323206e-11,False
43,0.0009910000007948838,5.733333333333333,1.1368683772161603e-11,False
44,0.0014379999993252568,4.315789473684211,5.6843418860808015e-12,False
45,0.0011610000001383014,4.611111111111111,2.8421709430404007e-12,False
46,0.0010279999987687916,-0.875,1.4210854715202004e-12,False
47,0.0009750000026542693,5.733333333333333,7.105427357601002e-13,False
48,0.0032519999949727207,-3.108695652173913,3.552713678800501e-13,False
49,0.0014819999996689148,5.733333333333333,1.7763568394002505e-13,False
50,0.0011159999994561076,5.3125,8.526512829121202e-14,False
51,0.0009729999947012402,5.733333333333333,4.263256414560601e-14,False
52,0.0010289999991073273,5.733333333333333,2.1316282072803006e-14,False
53,0.0011659999945550226,5.3125,1.4210854715202004e-14,False
54,0.001260999997612089,4.9411764705882355,7.105427357601002e-15,False
55,0.0009690000006230548,5.733333333333333,0.0,False
56,0.001220999998622574,-0.875,0.0,False
57,0.001083999995898921,5.733333333333333,0.0,False
58,0.0021810000034747645,-0.9310344827586207,0.0,False
59,0.0014260000025387853,4.315789473684211,0.0,False
60,0.0017250000018975697,4.9411764705882355,0.0,False
61,0.0047990000020945445,-0.9714285714285714,0.0,False
62,0.0010820000024978071,4.9411764705882355,0.0,False
63,0.0011640000011539087,5.733333333333333,0.0,False
64,0.000959999997576233,5.733333333333333,0.0,False
65,0.001817999997001607,5.733333333333333,0.0,False
66,0.002785999997286126,-0.9310344827586207,0.0,False
67,0.0010110000002896413,5.733333333333333,0.0,False
68,0.0009690000006230548,5.733333333333333,0.0,False
69,0.0019550000070012175,4.9411764705882355,0.0,False
70,0.004434000002220273,-3.3658536585365852,0.0,False
71,0.002047000001766719,5.733333333333333,0.0,False
