steps,time,reward,delta,converged
1,0.006053000000974862,-1.432,10.000006151288424,False
2,0.001702000001387205,-3.9423076923076925,10.000005109816838,False
3,0.008437000000412809,-0.8568181818181816,9.999961772825005,False
4,0.006255000000237487,-1.1515789473684208,10.000020793105449,False
5,0.002644000000145752,-2.6615384615384614,9.99901107717856,False
6,0.005946000001131324,-3.3225806451612905,9.99999078425983,False
7,0.004725999999209307,-1.4499999999999997,9.999933226827885,False
8,0.0007170000026235357,-9.181818181818182,9.999993107379856,False
9,0.0028630000015255064,-2.5975,10.000029734386242,False
10,0.011063999998441432,-0.976315789473684,8.999939904145098,False
11,0.0016500000019732397,-4.096,9.999932229756837,False
12,0.005353999997169012,-1.318292682926829,10.000002277919387,False
13,0.0027470000022731256,-2.4232558139534883,9.999947638746933,False
14,0.0029649999996763654,-2.2717391304347827,8.999939006781153,False
15,0.002140000000508735,-3.038235294117647,9.996879662605842,False
16,0.007811999999830732,-0.9056451612903224,9.997813254242281,False
17,0.0021369999994931277,-3.038235294117647,10.000033559848085,False
18,0.0022890000000188593,-2.9542857142857146,9.99996940750018,False
19,0.004597999999532476,-1.4684931506849312,9.999020179705134,False
20,0.004358999998657964,-1.5691176470588233,10.000011213314579,False
21,0.006778999999369262,-1.0336448598130838,9.999997188610907,False
22,0.0014680000022053719,-5.976470588235294,9.000030203863274,False
23,0.0018319999981031287,-3.5448275862068965,9.996985899243573,False
24,0.004147999999986496,-1.6369230769230767,9.098837808615938,False
25,0.013451999999233522,-0.5690140845070424,8.099945106103036,False
26,0.003807999997661682,-1.7932203389830508,9.99804231433909,False
27,0.0036199999995005783,-1.822413793103448,9.00000205012745,False
28,0.008473999998386716,-0.851127819548872,8.999972466750162,False
29,0.003946999997424427,-1.7377049180327868,9.998954700464893,False
30,0.002016999998886604,-3.3225806451612905,8.288941536133601,False
31,0.0036460000010265503,-1.8526315789473684,9.996931100212855,False
32,0.002081999999063555,-3.1272727272727274,9.998888744205262,False
33,0.003280000000813743,-2.021153846153846,9.99999741444804,False
34,0.00478800000200863,-1.3974025974025974,9.999978857355883,False
35,0.003187999998772284,-2.1387755102040815,7.460047382520242,False
36,0.0012100000021746382,-5.3578947368421055,9.096988469524279,False
37,0.0025930000010703225,-2.5975,9.00000553615958,False
38,0.005579000000579981,-1.2752941176470587,8.100004982543622,False
39,0.007432999998854939,-0.9394957983193275,9.999972806900871,False
40,0.0019330000031914096,-3.667857142857143,8.100001845114704,False
41,0.003042000000277767,-2.18125,9.997900004751884,False
42,0.004112000002351124,-1.6136363636363635,9.999959342098872,False
43,0.007249999998748535,-0.976315789473684,9.99993915162887,False
44,0.016794999999547144,-0.4842307692307696,10.000010168035864,False
