params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",65.18637099999978,1000,-0.0686288238169881,-0.07027027027027029,-0.08842105263157891,-0.03125000000000001,0.010092792801726246
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",67.83489000000009,1000,-0.06875922599099715,-0.06944444444444446,-0.09009009009009007,-0.03529411764705883,0.009474884793231296
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",67.06192400000145,1000,-0.06909884303407017,-0.07027027027027029,-0.09732360097323602,-0.03125000000000001,0.010576280686420629
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",65.40686199999982,1000,-0.0681377984238261,-0.06944444444444446,-0.08705882352941174,-0.03125000000000001,0.009720396663971474
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",65.61684400000013,1000,-0.06848367173298979,-0.06944444444444446,-0.08842105263157891,-0.021428571428571446,0.009599376465073852
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",64.24135100000058,1000,-0.06870447776341425,-0.06944444444444446,-0.08804347826086954,-0.03125000000000001,0.009714002186110158
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",194.7998609999995,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",208.91512200000034,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",66.41559199999938,1000,-0.06961556721952039,-0.07027027027027029,-0.09710526315789474,-0.03125000000000001,0.011281254176976849
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",70.4565590000002,1000,-0.0690369373810403,-0.07027027027027029,-0.0973809523809524,-0.03529411764705883,0.010145113567459296
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",70.22726499999953,1000,-0.06947254281584281,-0.07027027027027029,-0.09680232558139534,-0.03125000000000001,0.010543196310336149
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",64.42122799999925,1000,-0.06840411094965984,-0.06944444444444446,-0.09051724137931035,-0.021428571428571446,0.010460029038765627
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",63.039122000000134,1000,-0.06813012911479509,-0.06944444444444446,-0.09043478260869565,-0.021428571428571446,0.009863915839982373
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",63.302136000000246,1000,-0.0683421651120621,-0.06944444444444446,-0.08764044943820223,-0.021428571428571446,0.009724640675274208
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",63.284115000000384,1000,-0.06822574520439445,-0.06944444444444446,-0.08791208791208789,-0.02666666666666669,0.009637017952613618
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",62.26706800000102,1000,-0.06835947580721893,-0.06944444444444446,-0.08764044943820223,-0.02666666666666669,0.009761421737371948
