params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",64.22108200000002,1000,-0.08213794400778121,-0.08267609126984124,-0.09816053511705684,-0.06764705882352942,0.0043567373270958125
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",71.94577600000048,1000,-0.08230097923506563,-0.0825396825396825,-0.14911504424778765,-0.06666666666666667,0.005182516370911304
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",55.483784000000014,1000,-0.09938469021834587,-0.08333333333333331,-2.18125,-0.065625,0.15463864314412124
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",71.67795200000182,1000,-0.11001900380274808,-0.08196721311475406,-2.3704545454545456,-0.06451612903225809,0.22017452594891937
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",62.84985999999844,1000,-0.13160986040110367,-0.08196721311475406,-2.8,-0.06666666666666667,0.29008843137503904
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",52.9375489999984,1000,-0.12598468844977764,-0.08196721311475406,-4.096,-0.065625,0.3061558277054971
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",108.71172200000001,1000,-0.2649638635691294,-0.20005030090270814,-1.45,-0.09166666666666665,0.18286913885210618
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",70.98974599999929,1000,-0.10731395554328896,-0.09799085249904921,-2.3704545454545456,-0.0807017543859649,0.10055012710382404
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",226.12785900000017,1000,-0.09717379114520461,-0.09810016704450542,-0.11807163531114324,-0.07924528301886789,0.0027959019908916894
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",140.26571200000035,1000,-0.08411698356194143,-0.08382352941176469,-0.680813953488372,-0.065625,0.019445325310393023
