steps,time,reward,delta,converged
1,0.0005950000013399404,-16.75,10.000055616500774,False
2,0.006518999998661457,-1.261627906976744,9.998947439427944,False
3,0.0027289999998174608,-2.5975,9.999984983068709,False
4,0.0012909999986732146,-5.095000000000001,9.999985335570459,False
5,0.002839999999196152,-3.221875,9.999993722268034,False
6,0.0033670000011625234,-3.667857142857143,9.99902453854147,False
7,0.0034209999994345708,-2.0980000000000003,10.000062762183745,False
8,0.004295000000638538,-1.765,9.99999255699534,False
9,0.0029059999997116392,-2.2717391304347827,8.999986484761838,False
10,0.002703000000110478,-2.9542857142857146,10.000026073200724,False
11,0.0016880000002856832,-3.9423076923076925,9.999030383451249,False
12,0.006180000000313157,-1.1627659574468083,9.998917226360623,False
13,0.0017669999997451669,-3.667857142857143,9.998978948496132,False
14,0.0020170000007055933,-3.3225806451612905,9.996244773072938,False
15,0.0006549999998242129,-10.09,9.9988572241325,False
16,0.003243000001020846,-2.0588235294117645,9.998058161971786,False
17,0.0022849999986647163,-2.875,9.997277896039943,False
18,0.0032369999989896314,-2.0980000000000003,9.000050054850696,False
19,0.0018180000006395858,-3.8,9.997020602574192,False
20,0.0008340000003954628,-7.7846153846153845,8.999122084687324,False
21,0.0014429999991989462,-4.857142857142857,8.99999211543332,False
22,0.0012370000004011672,-5.3578947368421055,9.993357812530729,False
23,0.0003999999989900971,-16.75,8.100045049365628,False
24,0.0007040000000415603,-9.181818181818182,9.998997975800076,False
25,0.002177000000301632,-2.9542857142857146,9.998828489205918,False
26,0.001896000001579523,-3.5448275862068965,9.999971398048213,False
27,0.004031000000395579,-1.6609375,9.999050154374167,False
28,0.00342599999930826,-1.9163636363636363,9.997180086107816,False
29,0.001759999999194406,-3.9423076923076925,9.995679927149025,False
30,0.000556999999389518,-14.37142857142857,9.098882968638717,False
31,0.004107000000658445,-1.6369230769230767,8.998969267111338,False
32,0.004139999999097199,-1.5910447761194029,9.999998727279376,False
33,0.001323999998930958,-5.095000000000001,9.99268991893381,False
34,0.0017049999987648334,-3.8,8.999998854551437,False
