step,reward,mean,median,std,max,min
0,-0.07441860465116278,-0.07441860465116278,-0.07441860465116278,0.0,-0.07441860465116278,-0.07441860465116278
1,-0.08166666666666664,-0.0780426356589147,-0.0780426356589147,0.003624031007751931,-0.07441860465116278,-0.08166666666666664
2,-0.0825396825396825,-0.0795416512858373,-0.08166666666666664,0.003640031528656669,-0.07441860465116278,-0.0825396825396825
3,-0.07105263157894738,-0.07741939635911482,-0.0780426356589147,0.004842444637701548,-0.07105263157894738,-0.0825396825396825
4,-0.08493150684931505,-0.07892181845715487,-0.08166666666666664,0.005271480313733496,-0.07105263157894738,-0.08493150684931505
5,-0.08552631578947366,-0.08002256801254133,-0.08210317460317457,0.005405121198161733,-0.07105263157894738,-0.08552631578947366
6,-0.07924528301886789,-0.07991152729915942,-0.08166666666666664,0.005011556255041162,-0.07105263157894738,-0.08552631578947366
7,-0.08552631578947366,-0.0806133758604487,-0.08210317460317457,0.005042258809913346,-0.07105263157894738,-0.08552631578947366
8,-0.08513513513513513,-0.08111579355763608,-0.0825396825396825,0.004961736773722362,-0.07105263157894738,-0.08552631578947366
9,-0.0807017543859649,-0.08107438964046897,-0.08210317460317457,0.004708755375866212,-0.07105263157894738,-0.08552631578947366
10,-0.08607594936708857,-0.08152907688834347,-0.0825396825396825,0.004714245588631586,-0.07105263157894738,-0.08607594936708857
11,-0.08382352941176469,-0.08172028126529524,-0.08318160597572359,0.004557878062453184,-0.07105263157894738,-0.08607594936708857
12,-0.0825396825396825,-0.0817833121325558,-0.0825396825396825,0.004384507691527349,-0.07105263157894738,-0.08607594936708857
13,-0.07708333333333332,-0.08144759936118276,-0.0825396825396825,0.004394987062120332,-0.07105263157894738,-0.08607594936708857
14,-0.08225806451612899,-0.08150163037151252,-0.0825396825396825,0.00425077107815429,-0.07105263157894738,-0.08607594936708857
15,-0.0875,-0.08187652847329298,-0.0825396825396825,0.004364397740493228,-0.07105263157894738,-0.0875
16,-0.08589743589743587,-0.08211305243941902,-0.0825396825396825,0.004338501623546068,-0.07105263157894738,-0.0875
17,-0.08035714285714286,-0.08201550190707035,-0.0825396825396825,0.004235406751320244,-0.07105263157894738,-0.0875
18,-0.09035087719298246,-0.08245420586948678,-0.0825396825396825,0.004523143907057989,-0.07105263157894738,-0.09035087719298246
19,-0.07843137254901959,-0.08225306420346341,-0.0825396825396825,0.004494951689413405,-0.07105263157894738,-0.09035087719298246
20,-0.07105263157894738,-0.08171971026896266,-0.0825396825396825,0.004993174913110016,-0.07105263157894738,-0.09035087719298246
21,-0.08641975308641975,-0.08193334857884706,-0.0825396825396825,0.004975640677126001,-0.07105263157894738,-0.09035087719298246
22,-0.08281249999999998,-0.0819715725536798,-0.0825396825396825,0.004869574152494055,-0.07105263157894738,-0.09035087719298246
23,-0.07884615384615382,-0.08184134677419956,-0.0825396825396825,0.004807782483565241,-0.07105263157894738,-0.09035087719298246
24,-0.08135593220338981,-0.08182193019136717,-0.0825396825396825,0.004711605841052387,-0.07105263157894738,-0.09035087719298246
25,-0.08971962616822429,-0.0821256877289386,-0.0825396825396825,0.004863345465735819,-0.07105263157894738,-0.09035087719298246
26,-0.08428571428571426,-0.08220568871252289,-0.0825396825396825,0.004789835950075982,-0.07105263157894738,-0.09035087719298246
27,-0.08472222222222221,-0.08229556490929786,-0.08267609126984124,0.004726653270919448,-0.07105263157894738,-0.09035087719298246
28,-0.08196721311475406,-0.08228424243362392,-0.0825396825396825,0.004644830753620529,-0.07105263157894738,-0.09035087719298246
29,-0.08513513513513513,-0.08237927219034097,-0.08267609126984124,0.004595344741218267,-0.07105263157894738,-0.09035087719298246
30,-0.08405797101449272,-0.08243342376531361,-0.08281249999999998,0.004530338320615116,-0.07105263157894738,-0.09035087719298246
31,-0.0807017543859649,-0.08237930909720896,-0.08267609126984124,0.00446915782894933,-0.07105263157894738,-0.09035087719298246
32,-0.08552631578947366,-0.0824746729363685,-0.08281249999999998,0.004433862243055638,-0.07105263157894738,-0.09035087719298246
33,-0.08690476190476189,-0.08260496967073301,-0.08331801470588233,0.004431836350986195,-0.07105263157894738,-0.09035087719298246
34,-0.09140625000000002,-0.08285643482299777,-0.08382352941176469,0.004607599986238847,-0.07105263157894738,-0.09140625000000002
35,-0.08791208791208789,-0.08299686963102806,-0.0839407502131287,0.004618497999132823,-0.07105263157894738,-0.09140625000000002
36,-0.09140625000000002,-0.0832241501815408,-0.08405797101449272,0.004755381717244727,-0.07105263157894738,-0.09140625000000002
37,-0.08804347826086954,-0.08335097460468104,-0.0841718426501035,0.004755384648426737,-0.07105263157894738,-0.09140625000000002
38,-0.08842105263157891,-0.08348097660537072,-0.08428571428571426,0.004761939194472829,-0.07105263157894738,-0.09140625000000002
39,-0.09026548672566373,-0.08365058935837806,-0.08450396825396823,0.0048198686935316355,-0.07105263157894738,-0.09140625000000002
40,-0.08493150684931505,-0.08368183124840091,-0.08472222222222221,0.004764825644317728,-0.07105263157894738,-0.09140625000000002
41,-0.07999999999999996,-0.08359416859962947,-0.08450396825396823,0.004741105011122959,-0.07105263157894738,-0.09140625000000002
42,-0.08225806451612899,-0.08356309641164107,-0.08428571428571426,0.0046899766473299,-0.07105263157894738,-0.09140625000000002
43,-0.07962962962962959,-0.08347369943932263,-0.0841718426501035,0.004673288218116128,-0.07105263157894738,-0.09140625000000002
44,-0.07799999999999999,-0.08335206167400434,-0.08405797101449272,0.004690981841898276,-0.07105263157894738,-0.09140625000000002
45,-0.0725,-0.08311614728978686,-0.0839407502131287,0.004902186876626443,-0.07105263157894738,-0.09140625000000002
46,-0.07499999999999997,-0.08294346330489778,-0.08382352941176469,0.004989172067392907,-0.07105263157894738,-0.09140625000000002
47,-0.08513513513513513,-0.08298912313469439,-0.0839407502131287,0.004946841871751017,-0.07105263157894738,-0.09140625000000002
48,-0.08405797101449272,-0.0830109363567311,-0.08405797101449272,0.004898435520697797,-0.07105263157894738,-0.09140625000000002
49,-0.08333333333333331,-0.08301738429626314,-0.0839407502131287,0.004849413816092772,-0.07105263157894738,-0.09140625000000002
50,-0.07659574468085102,-0.08289146979400015,-0.08382352941176469,0.004883484764659865,-0.07105263157894738,-0.09140625000000002
51,-0.08103448275862067,-0.08285575850485824,-0.083578431372549,0.004843019721581319,-0.07105263157894738,-0.09140625000000002
52,-0.08281249999999998,-0.08285494230665337,-0.08333333333333331,0.004797116895966881,-0.07105263157894738,-0.09140625000000002
53,-0.08307692307692306,-0.08285905306165837,-0.08320512820512818,0.004752585807227133,-0.07105263157894738,-0.09140625000000002
54,-0.0760869565217391,-0.08273592403365984,-0.08307692307692306,0.0047953184178180595,-0.07105263157894738,-0.09140625000000002
