step,reward,mean,median,std,max,min
0,-0.08674698795180721,-0.08674698795180721,-0.08674698795180721,0.0,-0.08674698795180721,-0.08674698795180721
1,-0.08641975308641975,-0.08658337051911348,-0.08658337051911348,0.00016361743269373286,-0.08641975308641975,-0.08674698795180721
2,-0.08589743589743587,-0.08635472564522095,-0.08641975308641975,0.0003498629249227863,-0.08589743589743587,-0.08674698795180721
3,-0.08103448275862067,-0.08502466492357089,-0.08615859449192781,0.002323572167914211,-0.08103448275862067,-0.08674698795180721
4,-0.08135593220338981,-0.08429091837953467,-0.08589743589743587,0.0025441552741813506,-0.08103448275862067,-0.08674698795180721
5,-0.07884615384615382,-0.0833834576239712,-0.08362668405041285,0.0030840498532059774,-0.07884615384615382,-0.08674698795180721
6,-0.08513513513513513,-0.0836336972684232,-0.08513513513513513,0.002920328159835274,-0.07884615384615382,-0.08674698795180721
7,-0.08333333333333331,-0.08359615177653695,-0.08423423423423422,0.0027335223867224635,-0.07884615384615382,-0.08674698795180721
8,-0.08135593220338981,-0.0833472384906317,-0.08333333333333331,0.00267162290316648,-0.07884615384615382,-0.08674698795180721
9,-0.07884615384615382,-0.08289713002618392,-0.08234463276836157,0.0028717922471793193,-0.07884615384615382,-0.08674698795180721
10,-0.08358208955223878,-0.08295939907400708,-0.08333333333333331,0.00274521774073389,-0.07884615384615382,-0.08674698795180721
11,-0.08817204301075267,-0.08339378606873589,-0.08345771144278605,0.0029973012439172835,-0.07884615384615382,-0.08817204301075267
12,-0.0725,-0.08255580252498698,-0.08333333333333331,0.004088930068989456,-0.0725,-0.08817204301075267
13,-0.08103448275862067,-0.08244713682738938,-0.08234463276836157,0.003959623331436384,-0.0725,-0.08817204301075267
14,-0.07659574468085102,-0.08205704401762016,-0.08135593220338981,0.00409436068289903,-0.0725,-0.08817204301075267
15,-0.08513513513513513,-0.08224942471246484,-0.08234463276836157,0.004033758488097537,-0.0725,-0.08817204301075267
16,-0.08135593220338981,-0.08219686632957808,-0.08135593220338981,0.003918963615903315,-0.0725,-0.08817204301075267
17,-0.08405797101449272,-0.08230026103429555,-0.08234463276836157,0.0038323329945929505,-0.0725,-0.08817204301075267
18,-0.08842105263157891,-0.08262240796046837,-0.08333333333333331,0.003972631812556542,-0.0725,-0.08842105263157891
19,-0.08405797101449272,-0.08269418611316957,-0.08345771144278605,0.003884662572621752,-0.0725,-0.08842105263157891
20,-0.07924528301886789,-0.08252995263248855,-0.08333333333333331,0.0038615354289930548,-0.0725,-0.08842105263157891
21,-0.08641975308641975,-0.08270676174403087,-0.08345771144278605,0.0038587761170056287,-0.0725,-0.08842105263157891
22,-0.07843137254901959,-0.08252087525729125,-0.08333333333333331,0.003873362679937897,-0.0725,-0.08842105263157891
23,-0.07441860465116278,-0.08218328064870256,-0.08234463276836157,0.004122999972000055,-0.0725,-0.08842105263157891
24,-0.07708333333333332,-0.08197928275608779,-0.08135593220338981,0.004161481344778367,-0.0725,-0.08842105263157891
25,-0.08166666666666664,-0.08196725906034083,-0.08151129943502822,0.00408111101291001,-0.0725,-0.08842105263157891
26,-0.08764044943820223,-0.08217737722248383,-0.08166666666666664,0.0041456590117225165,-0.0725,-0.08842105263157891
27,-0.08533333333333332,-0.08229008994072846,-0.08249999999999998,0.004112869765841071,-0.0725,-0.08842105263157891
28,-0.07843137254901959,-0.08215703072032471,-0.08166666666666664,0.004102210496972736,-0.0725,-0.08842105263157891
29,-0.08450704225352108,-0.08223536443809792,-0.08249999999999998,0.004055261055915211,-0.0725,-0.08842105263157891
30,-0.0738095238095238,-0.08196356312749876,-0.08166666666666664,0.004258043253166961,-0.0725,-0.08842105263157891
31,-0.08307692307692306,-0.08199835562591826,-0.08237179487179486,0.004195457873268134,-0.0725,-0.08842105263157891
32,-0.07708333333333332,-0.08184941555644598,-0.08166666666666664,0.004216436585764974,-0.0725,-0.08842105263157891
33,-0.0875,-0.08201560921655052,-0.08237179487179486,0.004262266554387066,-0.0725,-0.08842105263157891
